OBJECTID,Ny_grønlandsk,Gammel_grønlandsk,Dansk,Alternativt_stednavn,Indbyggertal_2016,Grundkort,.geo
20,Ivittuut,Ivigtût,,,0,2,"{""type"":""Point"",""coordinates"":[-48.16289962900172,61.20596975184186]}"
21,Paamiut,Pâmiut,Frederikshåb,,1436,1,"{""type"":""Point"",""coordinates"":[-49.66522725690134,61.99570901811661]}"
22,Narsaq,Narssaq,,,1435,1,"{""type"":""Point"",""coordinates"":[-46.050507609294115,60.912933590784526]}"
23,Ittoqqortoormiit,,Scoresbysund,"Siornatigut: Illoqqortoormiut, Andreas Sanimuinnaq: Ittoqqortoormiid",385,1,"{""type"":""Point"",""coordinates"":[-21.968358476693844,70.48541702823944]}"
24,Qaqortoq,Qaqortoq,Julianehåb,,3111,1,"{""type"":""Point"",""coordinates"":[-46.03834173965198,60.71885175607899]}"
25,Aasiaat,Ausiait,Egedesminde,,3079,1,"{""type"":""Point"",""coordinates"":[-52.85741422631,68.70976303032317]}"
26,Uummannaq,Ùmánaq,,,1248,1,"{""type"":""Point"",""coordinates"":[-52.12946480518397,70.6754946451242]}"
27,Ilulissat,Ilulíssat,Jakobshavn,,4613,1,"{""type"":""Point"",""coordinates"":[-51.10232670054836,69.21804556070946]}"
28,Tasiilaq,Tasîlaq,Ammassalik,,2026,1,"{""type"":""Point"",""coordinates"":[-37.63158002192253,65.61339519928266]}"
29,Qasigiannguit,,Christianshåb,Siornatigut: KOMM,1137,1,"{""type"":""Point"",""coordinates"":[-51.193224629996834,68.81941486835149]}"
30,Upernavik,Upernavik,,,1078,1,"{""type"":""Point"",""coordinates"":[-56.14738039663695,72.78527533419886]}"
31,Kangaatsiaq,Kangâtsiaq,,,550,1,"{""type"":""Point"",""coordinates"":[-53.462772697675845,68.30955801892114]}"
32,Nuuk,Nûk,Godthåb,,17592,1,"{""type"":""Point"",""coordinates"":[-51.737187654250434,64.17705810270965]}"
33,Sisimiut,Sisimiut,Holsteinsborg,,5502,1,"{""type"":""Point"",""coordinates"":[-53.66575347213966,66.93709160039654]}"
34,Nanortalik,Nanortalik,,,1247,1,"{""type"":""Point"",""coordinates"":[-45.240247499908044,60.14256437004883]}"
35,Maniitsoq,Manîtsoq,Sukkertoppen,,2602,1,"{""type"":""Point"",""coordinates"":[-52.89628374190785,65.4161169885532]}"
36,Qeqertarsuaq,Qeqertarssuaq,Godhavn,,859,1,"{""type"":""Point"",""coordinates"":[-53.53529265231609,69.24680530274249]}"
37,Qaanaaq,Qânâq,Thule,,643,1,"{""type"":""Point"",""coordinates"":[-69.24811842890146,77.4749337419443]}"
